IDUsuario,FechaInicioSuscripcion,DuracionSuscripcionMeses,PlanContratado,Region,HorasSemanales,GenerosFavoritos,Edad,Dispositivo,PrecioMensual
1,2022-11-22,8,Prime Video Premium,Andalucía,1.7,Horror;Drama,37,Smartphone,12.99
2,2021-03-26,2,Prime Video Básico,Galicia,1.2,Romance;Action;Thriller,68,Tablet,4.99
3,2020-04-20,35,Prime Video Premium,Comunidad Valenciana,3.7,Sci-Fi;Comedy;Action,51,Tablet,12.99
4,2023-08-08,50,Prime Video Básico,Madrid,9.1,Sci-Fi,52,Smart TV,4.99
5,2020-06-16,41,Prime Video Básico,Madrid,16.6,Drama;Action,30,Tablet,4.99
6,2021-01-30,55,Prime Video Estándar,Galicia,6.0,Horror;Comedy,31,Tablet,9.99
7,2021-02-24,18,Prime Video Básico,Andalucía,17.1,Drama,24,Smart TV,4.99
8,2024-05-10,58,Prime Video Básico,Andalucía,9.0,Sci-Fi;Romance,21,Smart TV,4.99
9,2023-02-05,43,Prime Video Premium,Madrid,17.0,Thriller;Action;Sci-Fi,27,Smartphone,12.99
10,2020-09-24,41,Prime Video para niños,Cataluña,7.5,Action;Sci-Fi;Horror,31,Smartphone,6.99
11,2024-04-16,27,Prime Video Básico,Andalucía,6.2,Action;Romance,35,Laptop,4.99
12,2024-09-30,55,Prime Video Básico,Andalucía,3.1,Romance,67,Smart TV,4.99
13,2021-12-14,53,Prime Video Estándar,Madrid,22.7,Thriller,28,Smartphone,9.99
14,2022-02-13,36,Prime Video Estándar,Andalucía,16.1,Horror,30,Smartphone,9.99
15,2022-05-31,26,Prime Video Básico,Murcia,8.2,Horror;Sci-Fi,28,Tablet,4.99
16,2024-06-09,50,Prime Video Básico,Galicia,14.2,Comedy;Action,33,Tablet,4.99
17,2020-01-03,2,Prime Video Premium,Madrid,19.3,Sci-Fi;Thriller;Action,27,Smartphone,12.99
18,2021-06-01,60,Alquiler de películas,Castilla y León,16.9,Comedy;Thriller,26,Smartphone,3.99
19,2024-09-07,24,Prime Video Básico,Cataluña,4.8,Thriller,18,Tablet,4.99
20,2021-04-03,4,Prime Video Básico,País Vasco,23.2,Horror,19,Smart TV,4.99
21,2022-06-02,39,Prime Video Channels,Cataluña,6.7,Sci-Fi,64,Smartphone,7.99
22,2021-01-26,41,Prime Video Básico,Cataluña,18.3,Thriller;Sci-Fi,29,Smartphone,4.99
23,2023-11-14,11,Prime Video Premium,Madrid,4.8,Drama;Action;Sci-Fi,57,Smartphone,12.99
